a bit	m?t chút, m?t it
spare	th?a thãi, d? tr?, r?ng rãi; d? d? tr?, d? d? phòng
speak	nói
speaker	ngu?i nói, ngu?i di?n thuy?t
special	d?c bi?t, riêng bi?t
specialist	chuyên gia, chuyên viên
specially	d?c bi?t, riêng bi?t
specific	d?c trung, riêng bi?t
specifically	d?c trung, riêng bi?t
speech	s? nói, kh? nang nói, l?i nói, cách nói, bài nói
speed	t?c d?, v?n t?c
spell	dánh v?n; s? thu hút, s? quy?n ru, say mê
spelling	s? vi?t chính t?
spend	tiêu, xài
spice	gia v?
spicy	có gia v?
spider	con nh?n
spin	quay, quay tròn
spirit	tinh th?n, tâm h?n, linh h?n
spiritual	tinh th?n, linh h?n
spite	s? gi?n, s? h?n thù;
split	ch?, tách, chia ra; s? ch?, s? tách, s? chia ra
spoil	cu?p, cu?p d?at
spoken	nói theo 1 cách nào dó
spoon	cái thìa
sport	th? thao
spot	d?u, d?m, v?t
spray	máy, ?ng, bình ph?t, bom, phun; bom, phun, x?t
spread	tr?i, cang ra, bày ra; truy?n bá
spring	mùa xuân
square	vuông, vuông v?n; d?ng hình vuông, hình vuông
squeeze	ép, v?t, xi?t; s? ép, s? v?t, s? xi?t
stable	?n d?nh, bình tinh, v?ng vàng; chu?ng ngua
staff	g?y
stage	t?ng, b?
stair	b?c thang
stamp	tem; dán tem
stand	d?ng, s? d?ng
stand up	d?ng d?y
standard	tiêu chu?n, chu?n, mãu; làm tiêu chu?n, phù h?p v?i tiêu chu?n
star	ngôi sao, dán sao, trang trí hình sao, dánh d?u sao
stare	nhìm ch?m ch?m; s? nhìn ch?m ch?m
start	b?t d?u, kh?i d?ng; s? b?t d?u, s? kh?i d?u, kh?i hành
state	nhà nu?c, qu?c gia, chính quy?n;  nhà nu?c, có liên quan d?n nhà nu?c; phát bi?u, tuyên b?
statement	s? bày t?, s? phát bi?u; s? tuyên b?, s? trình bày
station	tr?m, di?m, d?n
statue	tu?ng
status	tình tr?ng
stay	? l?i, luu l?i; s? ? l?i, s? luu l?i
steadily	v?ng ch?c, v?ng vàng, kiên d?nh
steady	v?ng ch?c, v?ng vàng, ki?n d?nh
steal	an c?p, an tr?m
steam	hoi nu?c
steel	thép, ngành thép
steep	d?c, d?c d?ng
steeply	d?c, cheo leo
steer	lái
step	bu?c; bu?c, bu?c di
stick	dâm, th?c, ch?c, c?m, dính; cái g?y, qua c?i, cán
stick out	dòi, d?t du?c cái gì
sticky	dính, nh?t
stiff	c?ng, c?ng r?n, kiên quy?t
stiffly	c?ng, c?ng r?n, kiên quy?t
still	d?ng yên; v?n, v?n còn
sting	châm, chích, d?t; ngòi, vòi ; s? châm, chích..
stir	khu?y, d?o
stock	kho s? tr?, hàng d? tr?, v?n
stomach	d? dày
stone	dá
stop	d?ng, ng?ng, ngh?, thôi; s? d?ng, s? ng?ng, s? d? l?i
store	c?a hàng, kho hàng; tích tr?, cho vào kho
storm	con giông, bão
story	chuy?n, câu chuy?n
stove	b?p lò, lò su?i
straight	th?ng, không cong
strain	s? cang th?ng, s? cang
strange	xa l?, chua quen
strangely	l?, xa l?, chua quen
stranger	ngu?i l?
strategy	chi?n lu?c
stream	dòng su?i
street	ph?, du?mg ph?
strength	s?c m?nh, s?c kh?e
stress	s? cang th?ng; cang th?ng, ép, làm cang
stressed	b? cang th?ng, b? ép, b? cang
stretch	cang ra, du?i ra, kéo dài ra
strict	nghiêm kh?c, ch?t ch?,, kh?t khe
strictly	m?t cách nghiêm kh?c
strike	dánh, d?p, bãi công, dình công; cu?c bãi công, cu?c dình công
striking	n?i b?t, gây ?n tu?ng
string	dây, s?i dây
strip	c?i, l?t ; s? c?i qu?n áo
stripe	s?c, v?n, vi?n
striped	có s?c, có v?n
stroke	cú dánh, cú dòn; cái vu?t ve, s? vu?t ve; vu?t ve
strong	kh?e, m?nh, b?n, v?ng, ch?c ch?n
strongly	kh?e, ch?c ch?n
structure	k?t c?u, c?u trúc
struggle	d?u tranh; cu?c d?u tranh, cu?c chi?n d?u
student	sinh viên
studio	xu?ng phim, tru?ng quay; phòng thu
study	s? h?c t?p, s? nghiên c?u; h?c t?p, nghiên c?u
stuff	ch?t li?u, ch?t
stupid	ngu ng?c, ngu d?n, ng? ng?n
style	phong cách, ki?u, m?u, lo?i
subject	ch? d?, d? tài; ch? ng?
substance	ch?t li?u; b?n ch?t; n?i dung
substantial	th?c t?, dáng k?, quan tr?ng
substantially	v? th?c ch?t, v? can b?n
substitute	ngu?i, v?t thay th?; thay th?
succeed	n?i ti?p, k? ti?p; k? nghi?p, k? v?
success	s? thành công,, s? thành d?t
successful	thành công, th?ng l?i, thành d?t
successfully	thành công, th?ng l?i, thành d?t
such	nhu th?, nhu v?y, nhu là
such as	d?n n?i, d?n m?c
suck	bú, hút; h?p th?, ti?p thu
sudden	thình lình, d?t ng?t
suddenly	thình lình, d?t ng?t
suffer	ch?u d?ng, ch?u thi?t h?i, dau kh?
suffering	s? dau d?n, s? dau kh?
sufficient	d?, thích dáng
sufficiently	d?, thích dáng
sugar	du?ng
suggest	d? ngh?, d? xu?t; g?i
suggestion	s? d? ngh?, s? d? xu?t, s? khêu g?i
suit	b? com lê, trang ph?c; thích h?p, quen, h?p v?i
suitable	h?p, phù h?p, thích h?p v?i
suitcase	va li
suited	h?p, phù h?p, thích h?p v?i
sum	t?ng, toàn b?
summary	b?n tóm t?t
summer	mùa hè
sun	m?t tr?i
sunday	ch? nh?t
superior	cao, ch?t lu?ng cao
supermarket	siêu th?
supply	s? cung c?p, ngu?n cung c?p; cung c?p, dáp ?ng, ti?p t?
support	s? ch?ng d?, s? ?ng h?; ch?ng d?, ?ng h?
supporter	v?t ch?ng d?; ngu?i c? vu, ngu?i ?ng h?
suppose	cho r?ng, tin r?ng, nghi r?ng
sure	ch?c ch?n, xác th?c
surely	ch?c ch?n
surface	m?t, b? m?t
surname	h?
surprise	s? ng?c nhiên, s? b?t ng?; làm ng?c nhiên, gây b?t ng?
surprised	ng?c nhiên
surprising	làm ng?c nhiên, làm b?t ng?
surprisingly	làm ng?c nhiên, làm b?t ng?
surround	vây quanh, bao quanh
surrounding	s? vây quanh, s? bao quanh
surroundings	vùng xung quanh, môi tru?ng xung quanh
survey	s? nhìn chung, s? kh?o sát; quan sát, nhìn chung, kh?o sát, nghiên c?u
survive	s?ng lâu hon, ti?p t?c s?ng, s?ng sót
suspect	nghi ng?, hoài nghi; ngu?i kh? nghi, ngu?i b? tình nghi
suspicion	s? nghi ng?, s? ng? v?c
suspicious	có s? nghi ng?, t? ra nghi ng?, kh? nghi
swallow	nu?t, nu?t ch?ng
swear	ch?i r?a, nguy?n r?a; th?, h?a
swearing	l?i th?, l?i nguy?n r?a, l?i th? h?a
sweat	m? hôi; d? m? hôi
sweater	ngu?i ra m? hôi,, k? bóc l?t lao d?ng
sweep	quét
sweet	ng?t, có v? ng?t; s? ng?t bùi, d? ng?t
swell	ph?ng, sung lên
swelling	s? sung lên, s? ph?ng ra
swim	boi l?i
swimming	s? boi l?i
swimming pool	b? nu?c
swing	s? du dua, lúc l?c; dánh du, du dua, lúc l?c
switch	công t?c, roi; t?t, b?t, dánh b?ng g?y, roi
switch  off	ng?t di?n
switch  on	b?t di?n
swollen	sung ph?ng, phình cang
swollen swell	ph?ng lên, sung lên
symbol	bi?u tu?ng, ký hi?u
sympathetic	d?ng c?m, dáng m?n, d? thuong
sympathy	s? d?ng c?m, s? d?ng ý
system	h? th?ng, ch? d?
table	cái bàn
tablet	t?m, b?n, th? phi?n
tackle	gi?i quy?t, kh?c ph?c, bàn th?o; d? dùng, d?ng c?
tail	duôi, do?n cu?i
take	s? c?m n?m, s? l?y
take  over	ch?, chuy?n cái gì; ti?p qu?n, k? t?c cái gì
take advantage of	l?i d?ng
take notice of	chú ý
take place	x?y ra, du?c c? hành, du?c t? ch?c
take sth off	c?i, b? cái gì, l?y di cái gì
talk	nói chuy?n, trò chuy?n; cu?c trò chuy?n, cu?c th?o lu?n
tall	cao
tank	thùng, két, b?
tap	m? vòi, dóng v?i; vòi, khóa
tape	bang, bang ghi âm; d?i, dây
target	bia, m?c tiêu, dích
task	nhi?m v?, nghia v?, bài t?p, công tác, công vi?c
taste	v?, v? giác; n?m
tax	thu?; dánh thu?
taxi	xe t?c xi
tea	cây chè, trà, chè
teach	d?y
teacher	giáo viên
teaching	s? d?y, công vi?c d?y h?c
team	d?i, nhóm
tear	xé, làm r?ch; ch? rách, mi?ng xe; nu?c m?t
technical	k? thu?t, chuyên môn
technique	k? s?o, k? thu?t, phuong pháp k? thu?t
technology	k? thu?t h?c, công ngh? h?c
telephone	máy di?n tho?i, g?i di?n tho?i
television	vô tuy?n truy?n hình
tell	nói, nói v?i
temperature	nhi?t d?
temporarily	t?m
temporary	t?m th?i, nh?t th?i
tend	trông nom, cham sóc, gi? gìn, h?u h?
tendency	xu hu?ng, chi?u hu?ng, khuynh hu?ng
tension	s? cang, d? cang, tình tr?ng cang
tent	l?u, r?p
term	gi?i h?n, k? h?n, khóa, k? h?c
terrible	kh?ng khi?p, ghê s?
terribly	t?i t?, không ch?u n?i
test	bài ki?m tra, s? th? nghi?m, xét nghi?m; ki?m tra, xét nghi?m, th? nghi?m
text	nguyên van, b?n van, ch? d?, d? tì
than	hon
thank	cám on
thank you	c?m on b?n
thanks	s? c?m on, l?i c?m on
that	ngu?i ?y, dó, v?t ?y, dó; r?ng, là
the definite article	cái, con, ngu?i, ?y này....
the rest	v?t, cái còn l?i, nh?ng ngu?i, cái khác
theatre	r?p hát, nhà hát
their	c?a chúng, c?a chúng nó, c?a h?
theirs	c?a chúng, c?a chúng nó, c?a h?
them	chúng, chúng nó, h?
theme	d? tài, ch? d?
themselves	t? chúng, t? h?, t?
then	khi dó, lúc dó, ti?p dó
theory	lý thuy?t, h?c thuy?t
there	? noi dó, t?i noi dó
therefore	b?i v?y, cho nên, vì th?
they	chúng, chúng nó, h?; nh?ng cái ?y
thick	dày; d?m
thickly	dày; dày d?c; thành l?p dày
thickness	tính ch?t dày, d? dày, b? dày
thief	k? tr?m, k? c?p
thin	m?ng, m?nh
thing	cái, d?, v?t
think	nghi, suy nghi
thinking	s? suy nghi, ý nghi
thirsty	khát, c?m th?y khát
this	cái này, di?u này, vi?c này
thorough	c?n th?n, k? lu?ng
thoroughly	k? lu?ng, th?u dáo, tri?t d?
though	dù, dù cho, m?c dù; m?c dù, tuy nhiên, tuy v?y
thought	s? suy nghi, kh? nang suy nghi; ý nghi, tu tu?ng, tu duy
thread	ch?, s?i ch?, s?i dây
threat	s? de d?a, l?i de d?a
threaten	d?a, de d?a
threatening	s? de d?a, s? ham d?a
throat	c?, c? h?ng
through	qua, xuyên qua
throughout	kh?p, su?t
throw	ném, v?t, quang
thumb	ngón tay cái
thursday	th? 5
thus	nhu v?y, nhu th?, do dó
ticket	vé
tidy	s?ch s?, ngan n?p, g?n gàng; làm cho s?ch s?, g?n gàng, ngan n?p
tie	bu?c, c?t, trói; dây bu?c, daay trói, dây giày
tie sth up	có quan h? m?t thi?t, g?n ch?t
tight	kín, ch?t, ch?t
tightly	ch?c ch?, sít sao
till until	cho d?n khi, t?i lúc mà
time	th?i gian, thì gi?
timetable	k? ho?ch làm vi?c, th?i gian bi?u
tin	thi?c
tiny	r?t nh?, nh? xíu
tip	d?u, mút, d?nh, chóp; b?t d?u, l?p d?u vào
tire	làm m?t m?i, tr? nên m?t nh?c; l?p, v? xe
tired	m?t, mu?n ng?, nhàm chán
tiring	s? m?t m?i, s? m?t nh?c
title	d?u d?, tiêu d?; tu?c v?, tu cách
to	theo hu?ng, t?i
today	vào ngày này; hôm nay, ngày nay
toe	ngón chân
together	cùng nhau, cùng v?i
toilet	nhà v? sinh; s? trang di?m
tomato	cà chua
tomorrow	vào ngày mai; ngày mai
ton	t?n
tone	ti?ng, gi?ng
tongue	lu?i
tonight	vào dêm nay, vào t?i nay; dêm nay, t?i nay
tonne	t?n
too	cung
tool	d?ng c?, d? dùng
tooth	rang
top	chóp, d?nh; d?ng d?u, trên h?t
topic	d? tài, ch? d?
total	t?ng c?ng, toàn b?; t?ng s?, toàn b? s? lu?ng
totally	hoàn toàn
touch	s?, mó, ti?p xúc; s? s?, s? mó, s? ti?p xúc
tough	ch?c, b?n, dai
tour	cu?c do du l?ch, cu?c di d?o, chuy?n du l?ch; di du l?ch
tourist	khách du l?ch
towards	theo hu?ng, v? hu?ng
towel	khan t?m, khan lau
tower	tháp
town	th? tr?n, th? xã, thành ph? nh?
toy	d? choi, d? trang trí; th? lo?i d? choi
trace	phát hi?n, tìm th?y, v?ch, ch? ra, phác h?a; d?u, v?t, m?t chút
track	ph?n c?a dia; du?ng mòn, du?ng dua
trade	thuong m?i, buôn bán; buôn bán, trao d?i
trading	s? kinh doanh, vi?c mua bán
tradition	truy?n th?ng
traditional	theo truy?n th?ng, theo l?i c?
traditionally	truy?n th?ng, là truy?n th?ng
traffic	s? di l?i, s? giao thông, s? chuy?n d?ng
train	xe l?a, tàu h?a; d?y, rèn luy?n, dào t?o
training	s? d?y d?, s? hu?n luy?n, s? dào t?o
transfer	d?i, di chuy?n; s? di chuy?n, s? d?i ch?
transform	thay d?i, bi?n d?i
translate	d?ch, biên d?ch, phiên d?ch
translation	s? d?ch
transparent	trong su?t; d? hi?u, sáng s?a
transport	chuyên ch?, v?n t?i
trap	d? d?c, hành lý; b?y, c?m bãy; b?y, gi?, ch?n l?i
travel	di l?i, di du l?ch, di chuy?n; s? di, nh?ng chuy?n di
traveller	ngu?i di, l? khách
treat	d?i x?, d?i dãi, cu x?
treatment	s? d?i x?, s? cu x?
tree	cây
trend	phuong hu?ng, xu hu?ng, chi?u hu?ng
trial	s? th? nghi?m, cu?c th? nghi?m
triangle	hình tam giác
trick	muu m?o, th? do?n, trò l?a gatj; l?a, l?a g?t
trip	cu?c d?o choi, cu?c du ngo?n; di d?o, du ngo?n
tropical	nhi?t d?i
trouble	di?u lo l?ng, di?u mu?n phi?n
trousers	qu?n
truck	rau qu? tuoi
true	dúng, th?t
truly	dúng s? th?t, dích th?c, th?c s?
trust	ni?m tin, s? phó thác; tin, tin c?y, phó thác
truth	s? th?t
try	th?, c? g?ng
tube	?ng, tuýp
tuesday	th? 3
tune	di?u, giai di?u; lên dây, so dây
tunnel	du?ng h?m, hang
turn	quay, xoay, v?n; s? quay, vòng quay
tv television	vô tuy?n truy?n hình
twice	hai l?n
twin	sinh dôi, t?o thành c?p; c?p song sinh
twist	xo?n, cu?n, qu?n; s? xo?n, vòng xo?n
twisted	du?c xo?n, du?c cu?n
type	lo?i, ki?u, m?u; phân lo?i, x?p lo?i
typical	tiêu bi?u, di?n hình, d?c trung
typically	di?n hình, tiêu bi?u
tyre	l?p, v? xe
ugly	x?u xí, x?u xa
ultimate	cu?i cùng, sau cùng
ultimately	cu?i cùng, sau cùng
umbrella	ô, dù
unable	không có nang l?c, không có tài
unable able	không th?, không có kh? nang
unacceptable	không th? ch?p nh?n, không tán thành, không tha th?; không ch?u n?i
unacceptable acceptable	không th? ch?p nh?n
uncertain	thi?u chính xác, không ch?c ch?n
uncertain certain	không ch?c ch?n, khôn bi?t rõ ràng
uncle	chú, bác
uncomfortable	b?t ti?n, khó ch?u, không tho?i mái
uncomfortable comfortable	b?t ti?n, không ti?n l?i
unconscious	b?t t?nh, không có ý th?c, không bi?t rõ
unconscious conscious	b?t t?nh, ng?t di
uncontrolled	không b? di?u khi?n, không b? ki?m tra, không b? h?n
uncontrolled control	không b? ki?m ch?, không b? ki?m tra
under	du?i, ? du?i; ? phía du?i, v? phía du?i
underground	du?i m?t d?t, ng?m du?i d?t; ng?m
underneath	du?i, bên du?i
understand	hi?u, nh?n th?c
understanding	trí tu?, s? hi?u bi?t
underwater	? du?i m?t nu?c, du?i m?t nu?c
underwear	qu?n lót
undo	tháo, g?; xóa b?, h?y b?
undo do	tháo, g?, xóa, h?y b?
unemployed	th?t nghi?p; không dùng, không s? d?ng du?c
unemployed employ	không dùng, th?t nghi?p
unemployment	s? th?t nghi?p, n?n th?t nghi?p
unemployment employment	s? th?t nghi?p, tình tr?ng th?t nghi?p
unexpected	b?t ng?, gây ng?c nhiên
unexpected, unexpectedly	b?t ng?, d?t ng?t, gây ng?c nhiên
unexpectedly	b?t ng?, gây ng?c nhiên
unfair	gian l?n, không công b?ng; b?t l?i
unfair, unfairly fair	không dúng, không công b?ng, gian l?n
unfairly	gian l?n, không công b?ng; b?t l?i
unfortunate	không may, r?i ro, b?t h?nh
unfortunately	m?t cách dáng ti?c, m?t cách không may
unfriendly	không thân thi?n, không có thi?n c?m
unfriendly friendly	d?i d?ch, không thân thi?n
unhappiness	n?i bu?n, s? b?t h?nh
unhappiness happiness	s? bu?n, n?i bu?n
unhappy	bu?n r?u, kh?n kh?
unhappy happy	bu?n r?u, kh? s?
uniform	d?ng ph?c; d?u, gi?ng nhau, d?ng d?ng
unimportant	khônh quan tr?ng, không tr?ng d?i
unimportant important	không quan tr?ng
union	liên hi?p, s? doàn k?t, s? hi?p nh?t
unique	d?c nh?t vô nh?
unit	liên k?t, h?p nh?t, h?p l?i, k?t thân
united	liên minh, doàn k?t, chung, th?ng nh?t
universe	vu tr?
university	tru?ng d?i h?c
unkind	d?c ác, tàn nh?n
unkind kind	không t? t?, không t?t
unknown	không bi?t
unknown know	không bi?t, không du?c nh?n ra
unless	tr? phi, tr? khi, n?u không
unlike	khác, không gi?ng
unlike like	không gi?ng, khác
unlikely	không th? x?y ra, không ch?c x?y ra
unlikely likely	không có th? x?y ra, không ch?c ch?n; không có th?c
unload	c?t gánh n?ng, d? hàng
unload load	tháo, d?
unlucky	không g?p may, b?t h?nh
unlucky lucky	không g?p may, không may m?n
unnecessary	không c?n thi?t, không mong mu?n
unnecessary necessary	không c?n thi?t, không mong mu?n
unpleasant	không d? ch?u, khó ch?u, khó ua
unpleasant pleasant	không d? ch?u, khó ch?u
unreasonable	vô lý
unreasonable reasonable	vô lý, vu?t quá gi?i h?n c?a cái h?p lý
unsteady	không ch?c, không ?n d?nh
unsteady steady	không dúng m?c, không v?ng, không ch?c
unsuccessful	không thành công, th?t b?i
unsuccessful successful	không thành công, không thành d?t
untidy	không g?n gàng, không ngan n?p, l?n x?n
untidy tidy	không g?n gàng, không ngan n?p, l?n x?n
until	tru?c khi, cho d?n khi
unusual	hi?m, khác thu?ng, dáng chú ý
unusual, unusually usual	hi?m, khác thu?ng
unusually	c?c k?, khác thu?ng
unwilling	không s?n lòng, mi?n cu?ng
unwilling, unwillingly willing	không mu?n, không có ý d?nh
unwillingly	không s?n lòng, mi?n cu?ng
up	? trên, lên trên, lên
upon	trên, ? trên
upper	cao hon
upset	làm d?, dánh d?
upsetting	tính dánh d?, làm d?
upside down	l?n ngu?c
upstairs	? tên gác, cu ng? ? t?ng gác; t?ng trên, gác
upward	lên, hu?ng lên, di lên
urban	thành ph?, khu v?c
urge	thúc, gi?c, gi?c giã; s? thúc d?y, s? thôi thúc
urgent	g?p, kh?n c?p
us	chúng tôi, chúng ta; tôi và anh
use	s? d?ng, dùng; s? dùng, s? s? d?ng
used	dã dùng, dã s? d?ng
used to modal	dã quen dùng
used to sth/to doing sth	s? d?ng cái gì, s? d?ng d? làm cái gì
useful	h?u ích, giúp ích
useless	vô ích, vô d?ng
user	ngu?i dùng, ngu?i s? d?ng
usual	thông thu?ng, thu?ng dùng
usually	thu?ng thu?ng
vacation	k? ngh? hè, k? ngh? l?; ngày ngh?, ngày l?
valid	ch?c ch?n, hi?u qu?, h?p lý
valley	thung lung
valuable	có giá tr? l?n, dáng giá
value	giá tr?, u?c tính, d?nh giá
van	ti?n d?i, quân tiên phong; xe t?i
variation	s? bi?n d?i, s? thay d?i m?c d?, s? khác nhau
varied	thu?c nhi?u lo?i khác nhau, nh?ng v? da d?ng
variety	s? da d?ng, tr?ng thái khác nhau
various	khác nhau, thu?c v? nhi?u lo?i
vary	thay d?i, làm cho khác nhau, bi?n d?i
vast	r?ng l?n, mênh mông
vegetable	rau, th?c v?t
vehicle	xe c?
venture	s? án kinh doanh, công vi?c kinh doanh; li?u, m?o hi?m, c? gan
version	b?n d?ch sang m?t ngôn ng? khác
vertical	th?ng d?ng, d?ng
very	r?t, l?m
via	qua, theo du?ng
victim	n?n nhân
victory	chi?n th?ng
video	video
view	s? nhìn, t?m nhìn; nhìn th?y, xem, quan sát
village	làng, xã
violence	s? ác li?t, s? d? d?i; b?o l?c
violent	mãnh li?t, m?nh m?, hung d?
violently	mãnh li?t, d? d?i
virtually	th?c s?, h?u nhu, g?n nhu
virus	vi rút
visible	h?u hình, th?y du?c
vision	s? nhìn, th? l?c
visit	di tham h?i, d?n choi, tham quan; s? di tham, s? tham vi?ng
visitor	khách, du khách
vital	s? s?ng, c?n cho s? s?ng
vocabulary	t? v?ng
voice	ti?ng, gi?ng nói
volume	th? tích, quy?n, t?p
vote	s? b? phi?u, s? b?u c?; b? phi?u, b?u c?
wage	ti?n luong, ti?n công
waist	eo, ch? th?t lung
wait	ch? d?i
waiter, waitress	ngu?i h?u bàn, ngu?i d?i, ngu?i trông ch?
wake	th?c d?y, t?nh th?c
walk	di, di b?; s? di b?, s? di d?o
walking	s? di, s? di b?
wall	tu?ng, vách
wallet	cái ví
wander	di lang thang; s? di lang thang
want	mu?n
war	chi?n tranh
warm	?m, ?m áp; làm cho nóng, hâm nóng
warmth	tr?ng thái ?m, s? ?m áp; hoi ?m
warn	báo cho bi?t, c?nh báo
warning	s? báo tru?c, l?i c?nh báo
wash	r?a, gi?t
washing	s? t?m r?a, s? gi?t
waste	lãng phí, u?ng phí; vùng hoang vu, sa m?c; b? hoang
watch	nhìn, theo dõi, quan sát; s? canh gác, s? canh phòng
water	nu?c
wave	sóng, g?n nu?c; g?n sóng, u?n thành sóng
way	du?ng, du?ng di
we	chúng tôi, chúng ta
weak	y?u, y?u ?t
weakness	tình tr?ng y?u du?i, y?u ?t
wealth	s? giàu có, s? giàu sang
weapon	vu khí
wear	m?c, mang, deo
weather	th?i ti?t
web	m?ng, lu?i
wedding	l? cu?i, hôn l?
wednesday	th? 4
week	tu?n, tu?n l?
weekend	cu?i tu?n
weekly	m?i tu?n m?t l?n, hàng tu?n
weigh	cân, cân n?ng
weight	tr?ng lu?ng
welcome	chào m?ng, hoan nghênh
well	t?t, gi?i; ôi, may quá!
well known	n?i ti?ng, du?c nhi?u ngu?i bi?t d?n
west	phía tây, theo phía tây, v? hu?ng tây
western	v? phía tây, c?a phía tây
wet	u?t, ?m u?t
what	gì, th? nào
whatever	b?t c? th? gì, b?t k? th? gì
wheel	bánh xe
when	khi, lúc, vào lúc nào
whenever	b?t c? lúc nào, lúc nào
where	dâu, ? dâu; noi mà
whereas	nhung ngu?c l?i, trong khi
wherever	? b?t c? noi nào, ? b?t c? noi dâu
whether	có..không; có... chang; không bi?t có.. không
which	nào, b?t c?.. nào; ?y, dó
while	trong lúc, trong khi; lúc, ch?c, lát
whilst	trong lúc, trong khi
whisper	nói thì th?m, xì xào; ti?ng nói thì th?m, ti?ng xì xào
whistle	s? huýt sáo, s? th?i còi; huýt sáo, th?i còi
white	tr?ng; màu tr?ng
who	ai, ngu?i nào, k? nào, ngu?i nhu th? nàow
whole	bình an vô s?, không suy suy?n, không hu h?ng; toàn b?, t?t c?, toàn th?
whom	ai, ngu?i nào; ngu?i mà
whose	c?a ai
why	t?i sao, vì sao
wide	r?ng, r?ng l?n
widely	nhi?u, xa; r?ng rãi
width	tính ch?t r?ng, b? r?ng
wife	v?
wild	d?i, hoang
wildly	d?i, hoang
will modal	s?; ý chí, ý d?nh
willing	b?ng lòng, vui lòng, mu?n
willingly	s?n lòng, t? nguy?n
willingness	s? b?ng lòng, s? vui lòng
win	chi?m, d?at, thu du?c
wind	gió
wind sth up	lên dây, qu?n, gi?i quy?t
window	c?a s?
wine	ru?u, d? u?ng
wing	cánh, s? bay, s? c?t cánh
winner	ngu?i th?ng cu?c
winning	dang dành th?ng l?i, th?ng cu?c
winter	mùa dông
wire	dây
wise	khôn ngoan, sáng su?t, thông thái
wish	u?c, mong mu?n; s? mong u?c, lòng mong mu?n
with	v?i, cùng
withdraw	rút, rút kh?i, rút lui
within	trong vong th?i gian, trong kho?ng th?i gian
without	không, không có
witness	s? làm ch?ng, b?ng ch?ng; ch?ng ki?n, làm ch?ng
woman	dàn bà, ph? n?
wonder	ng?c nhiên, l?y làm l?, kinh ng?c
wonderful	phi thu?ng, khác thu?ng, k? di?u, tuy?t v?i
wood	g?
wooden	làm b?ng g?
wool	len
word	t?
work	làm vi?c, s? làm vi?c
worker	ngu?i lao d?ng
working	s? làm, s? làm vi?c
world	th? gi?i
worried	b?n ch?n, lo nghi, t? ra lo l?ng
worry	lo l?ng, suy nghi; s? lo l?ng, suy nghi
worrying	g?y lo l?ng, gây lo nghi
worship	s? tôn th?, s? tôn sùng; th?, th? ph?ng, tôn th?
worth	dáng giá, có giá tr?
wound	v?t thuong, thuong tích; làm b? thu?ng, gây thuong tích
wounded	b? thuong
wrap	gói, b?c, qu?n
wrapping	v?t bao 
